date,what
"Fri, 1 Jan 2021",New Year's Day
"Fri, 2 Apr 2021",Good Friday
"Mon, 5 Apr 2021",Easter Monday
"Mon, 3 May 2021",Early May Bank Holiday
"Mon, 31 May 2021",Spring Bank Holiday
"Mon, 30 Aug 2021",Summer Bank Holiday
"Mon, 27 Dec 2021",Christmas Day
"Tue, 28 Dec 2021",Boxing Day
"Mon, 3 Jan 2022",New Year's Day
"Fri, 15 Apr 2022",Good Friday
"Mon, 18 Apr 2022",Easter Monday
"Mon, 2 May 2022",Early May Bank Holiday
"Thu, 2 Jun 2022",Spring Bank Holiday
"Fri, 3 Jun 2022",Platinum Jubilee bank holiday
"Mon, 29 Aug 2022",Summer Bank Holiday
"Mon, 26 Dec 2022",Boxing Day
"Tue, 27 Dec 2022",Christmas Day
